character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"釢","","","nǎi","","8182",""
"鉃","","","shì","","8183",""
"鍍","","","dù","","8184","plate, coat, gild"
"鍎","","","tú","","8185",""
"鎖","","","suǒ","","8186","lock, padlock; shackles, chains"
"闃","","","qù","","8187","alone; quiet, still"
"鞗","","","tiáo","","8188","reins"
"韱","","","xiān","","8189","wild onions or leeks"
"頹","","","tuí","","8190","ruined, decayed; disintegrate"
"願","","","yuàn","","8191","desire, want; wish; ambition"
"顳","","","niè","","8192","the temporal bone"
"餁","","","rèn","","8193","cooked food; cook until well done"
"餃","","","jiǎo","","8194","stuffed dumplings"
"餵","","","wèi","","8195","to feed, to raise"
"馮","","","féng","","8196","surname; gallop; by dint of"
"馳","","","chí","","8197","go quickly or swiftly; hurry"
"駛","","","shǐ","","8198","sail, drive, pilot; fast, quick"
"騎","","","qí","","8199","ride horseback; mount; cavalry"
"騺","","","zhì","","8200","heavy horse; horse unable to move because of twisted leg; plodding"
"鯚","","","jì","","8201",""
"鰟","","","fáng","","8202",""
"鱉","","","biē","","8203","turtle"
"鳛","鰼","鰼","xí","","8204","the weather or dojo loach, Misgurnus anguillicaudatus"
"鴟","","","chī","","8205","kite, horned owl; wine cups"
"鴮","","","wū","","8206",""
"鴲","","","zhī","","8207",""
"鴷","","","liè","","8208","a woodpecker"
"鷷","","","zūn","","8209",""
"鸀","","","chǔ","","8210",""
"麎","","","chén","","8211",""
"麡","","","qí","","8212",""
"麧","","","hé","","8213",""
"鼇","","","áo","","8214","huge sea turtle"
"鼞","","","tāng","","8215",""
"鼤","","","wén","","8216",""
"齺","","","zōu","","8217",""
"齽","","","jìn","","8218",""
"龑","","","yǎn","","8219","high and bright"
"裏","","","","","8220","inside, interior, within"
"䦶","䦛","䦛","zhèng","","8221","(simplified form of"
"䲡","鰌","鰌","qiū","","8222","(simplified form"
"砮","","","nǔ","","8223","arrow-tip"
"綟","","","lì","","8224",""
"緜","","","mián","","8225","cotton wad; wool; soft, downy"
"繑","","","qiāo","","8226",""
"纑","","","lú","","8227","to soften hemp by boiling; thread"
"罈","","","tán","","8228","an earthenware jar, a jug"
"蠙","","","pín","","8229","oyster"
"輴","","","chūn","","8230","sled"
"酨","","","zài","","8231",""
"鏂","","","ōu","","8232",""
"駹","","","máng","","8233","black horse with a white face"
"鎪","","","sōu","","8234","to engrave (metal of wood)"
"瞕","","","zhàng","","8235","cataract in the eye"
"窪","","","wā","","8236","hollow; pit; depression; swamp"
"肻","","","kěn","","8237",""
"蠔","","","háo","","8238","oyster"
"鐰","","","qiāo","","8239",""
"綵","","","cǎi","","8240","varicolored silk; variegated"
"鮰","","","huí","","8241","a small sturgeon found in the Yangzi; catfish"
"鳾","","","shī","","8242","general term for a group of small birds"
"虰","","","dīng","","8243",""
"驎","","","lín","","8244",""
"荬","蕒","蕒","mǎi","","8245","a plant name"
"鑛","","","kuàng","","8246","mine; mineral, ore"
"犏","","","piān","","8247","yak-ox"
"鞧","","","qiū","","8248","a leather strap"
"鮋","","","yóu","","8249",""
"鰷","","","tiáo","","8250","minnow"
"鶲","","","wēng","","8251",""
"盕","","","fàn","","8252",""
"盩","","","zhōu","","8253","callus"
"盻","","","xì","","8254","glare; stare"
"眖","","","kuàng","","8255",""
"砛","","","jin","","8256",""
"硈","","","qià","","8257",""
"禢","","","tà","","8258","surname"
"禥","","","qí","","8259",""
"窼","","","zhāo","","8260",""
"竏","","","qian","","8261","kiloliter"
"筈","","","kuò","","8262","arrow end"
"筽","","","o","","8263",""
"篴","","","dí","","8264","bamboo flute; whistle"
"籆","","","yuè","","8265",""
"籇","","","háo","","8266",""
"紏","","","tǒu","","8267",""
"肣","","","hán","","8268",""
"胑","","","zhī","","8269","the limbs; the upper arm; wings of birds; legs of animals"
"臮","","","jì","","8270",""
"苲","","","zhǎ","","8271",""
"蒃","","","zhuàn","","8272",""
"虗","","","xū","","8273",""
"蜌","","","bì","","8274",""
"跘","","","pán","","8275",""
"鞦","","","qiū","","8276","leather stap; swing"
"驄","","","cōng","","8277","horse with a bluish white color"
"鷭","","","fán","","8278",""
"鸼","鵃","鵃","zhōu","","8279",""
"鹐","鵮","鵮","qiān","","8280","to peck, as birds"
"矄","","","xūn","","8281",""
"魖","","","xū","","8282",""
"鴐","","","gē","","8283",""
"薀","","","yùn","","8284",""
"謏","","","xiǎo","","8285","scold, censure; lead people toward virtuous ways; small, little"
"脎","","","sà","","8286","an organic compound"
"締","","","dì","","8287","tie, join, connect; connection"
"聧","","","kuī","","8288",""
"脜","","","yǒu","","8289",""
"艤","","","yǐ","","8290","to moor a boat to the bank"
"荖","","","lǎo","","8291","betel pepper"
"蕌","","","lěi","","8292",""
"蠷","","","qú","","8293",""
"褏","","","xiù","","8294","sleeve; ample flowing robes"
"觽","","","xī","","8295",""
"踫","","","pèng","","8296","collide, bump into"
"蹽","","","liāo","","8297",""
"軉","","","yù","","8298",""
"軛","","","è","","8299","yoke, collar; to restrain"
"墚","","","liáng","","8300","mountain range"
"搌","","","zhǎn","","8301","to wipe tears; to bind"
"擗","","","pǐ","","8302","to beat the breast"
"哳","","","zhā","","8303",""
"鋻","","","jiàn","","8304",""
"楗","","","jiàn","","8305","bar of door, bolt of lock"
"韂","","","chàn","","8306","a saddle-flap. trappings"
"飆","","","biāo","","8307","whirlwind, stormy gale"
"饏","","","dàn","","8308",""
"耥","","","tāng","","8309","farm tool"
"髼","","","péng","","8310",""
"篼","","","dōu","","8311","mountain sedan chair; (Cant.) a simple container without a cover"
"鬑","","","lián","","8312","long, flowing hair"
"醑","","","xǔ","","8313","to strain spirits"
"鴧","","","ròng","","8314",""
"眜","","","mò","","8315",""
"瞷","","","jiàn","","8316",""
"磦","","","biāo","","8317",""
"礨","","","lěi","","8318",""
"祃","禡","禡","mà","","8319","a sacrifice at the beginning of a military campaign"
"祲","","","jìn","","8320","ominous or sinister spirit; vigor"
"祻","","","gù","","8321",""
"窊","","","wā","","8322","pit, vault; store in pit; (Cant.)"
"簥","","","jiāo","","8323","a large pipe; a farm tool"
"籲","","","yù","","8324","appeal; request; implore"
"縢","","","téng","","8325","bind, tie up, restrain; cord"
"繌","","","sha","","8326",""
"繒","","","zēng","","8327","silk fabrics; surname"
"聜","","","dǐ","","8328",""
"胔","","","zì","","8329","rotten meat; bones of dead animals"
"胾","","","zì","","8330","minced meat; to cut meat into pieces"
"脨","","","cù","","8331",""
"膼","","","zhuā","","8332",""
"艕","","","bàng","","8333","two boats fastened side by side"
"苼","","","shēng","","8334",""
"莻","","","gòng","","8335","late"
"蓨","","","tiáo","","8336",""
"蓵","","","jié","","8337",""
"蓾","","","lǔ","","8338",""
"藦","","","mò","","8339","edible mushrooms"
"虀","","","jī","","8340","minced pickles; leeks; mix; salt"
"蚈","","","qiān","","8341",""
"蛡","","","yì","","8342",""
"蛻","","","tuì","","8343","molt, exuviate, shed"
"蝝","","","yuán","","8344","the larva of locust"
"蝹","","","yūn","","8345",""
"蟿","","","qì","","8346","acrida chinensis"
"衼","","","zhī","","8347",""
"褦","","","nài","","8348","stupid, dull, ignorant, doltish; (Cant.) to tie up, bind"
"襶","","","dài","","8349","ignorant; naive; unsophisticated"
"覐","","","jué","","8350","to sleep; to realize, feel"
"詯","","","huì","","8351",""
"誴","","","cóng","","8352",""
"諓","","","jiàn","","8353","flattering"
"謧","","","lí","","8354",""
"謪","","","shāng","","8355","to consult; to deliberate; commerce"
"譁","","","huá","","8356","noise, uproar; clamor, hubbub"
"貤","","","yí","","8357","steps, grade, strata; series"
"赪","赬","赬","chēng","","8358","deep red"
"踖","","","jí","","8359","trample on, tread on"
"軆","","","tǐ","","8360","body; group, class, body, unit"
"輈","","","zhōu","","8361","shaft"
"鄛","","","cháo","","8362",""
"鄡","","","qiāo","","8363",""
"醖","醞","醞","yùn","","8364","liquor"
"屺","","","qǐ","","8365","a hill with trees or grass-- some give the opposite meaning"
"鍑","","","fù","","8366",""
"鏉","","","shòu","","8367",""
"雊","","","gòu","","8368","the crow of a male pheasant"
"顓","","","zhuān","","8369","good, honest; simple; respectful"
"飐","颭","颭","zhǎn","","8370","sway in wind"
"稆","穭","穭","lǚ","","8371","wild grain"
"駳","","","dàn","","8372",""
"騽","","","xí","","8373",""
"骍","騂","騂","xīng","","8374","red, brown, bay; neat, harmonious"
"筻","","","gàng","","8375","place name in Hunan province"
"魱","","","hú","","8376",""
"舣","艤","艤","yǐ","","8377","to moor a boat to the bank"
"鮾","","","něi","","8378",""
"鯋","","","shā","","8379","shark"
"鯏","","","li","","8380","dialect name for a (bad tasting) blood clam"
"鶃","","","yì","","8381","hawk; Ardea cinerea"
"鶫","","","dong","","8382","thrush; Turdus naumanni"
"齛","","","xiè","","8383",""
"矙","","","kàn","","8384","view"
"絾","","","chéng","","8385",""
"袗","","","zhěn","","8386","unlined garments; hem of garment"
"襬","","","bǎi","","8387","lower part of a robe"
"漤","","","lǎn","","8388","marinate in salt"
"闕","","","què","","8389","watch tower; palace"
"鬐","","","qí","","8390",""
"鲾","鰏","鰏","bī","","8391",""
"鴾","","","móu","","8392","a crested ibis"
"稭","","","jiē","","8393","stalk of grain, rice, corn, hemp"
"籄","","","kuì","","8394","a basket for carrying earth"
"聺","","","qié","","8395",""
"褹","","","yì","","8396",""
"訟","","","sòng","","8397","accuse; argue, dispute; litigate"
"鏕","","","lù","","8398",""
"齆","","","wèng","","8399","stuffed nose"
"盫","","","ān","","8400",""
"矎","","","xuān","","8401",""
"礋","","","zé","","8402",""
"窌","","","jiào","","8403","pit, vault; store in pit"
"簼","","","lóng","","8404",""
"糴","","","dí","","8405","purchase grains; store grain"
"纴","紝","紝","rèn","","8406","weave, lay warp"
"罵","","","mà","","8407","accuse, blame, curse, scold"
"翚","翬","翬","huī","","8408",""
"耰","","","yōu","","8409","toothless rake for drawing earth over newly sown grain"
"艧","","","huò","","8410",""
"藇","","","xù","","8411","fine"
"虖","","","hū","","8412","to cry; to shout; to howl"
"蚖","","","yuán","","8413",""
"蜎","","","yuān","","8414","mosquito larva"
"蜨","","","dié","","8415","butterfly"
"蠭","","","fēng","","8416","bees, hornets, wasps"
"詟","讋","讋","zhé","","8417","fear; envy; loquacious"
"詵","","","shēn","","8418","inquire, question; numerous"
"譔","","","zhuàn","","8419","eulogize; compose, write"
"豭","","","jiā","","8420","boar, male pig"
"趙","","","zhào","","8421","surname; ancient state"
"趬","","","qiāo","","8422",""
"阢","","","wù","","8423",""
"圊","","","qīng","","8424","rest room"
"醃","","","yān","","8425","marinate, pickle; salt"
"録","","","lù","","8426","copy"
"鍮","","","tōu","","8427","brass"
"鍸","","","hú","","8428","food, gruel"
"闚","","","kuī","","8429","flash; flashing; steal look"
"阤","","","zhì","","8430","hill"
"霫","","","xí","","8431","heavy rain"
"鞎","","","hén","","8432",""
"韗","","","yùn","","8433",""
"鬖","","","sān","","8434","wild hair"
"鳠","鱯","鱯","hù","","8435",""
"鴼","","","luò","","8436",""
"鷇","","","kòu","","8437","chicks, fledglings"
"黇","","","tiān","","8438",""
"黡","黶","黶","yǎn","","8439","mole, scar, blemish"
"齣","","","chū","","8440","act; stanza; time, occasion"
"盞","","","zhǎn","","8441","small cup or container; classifier for lamps, etc."
"眅","","","pān","","8442","inlay; border"
"磈","","","wěi","","8443",""
"磳","","","zēng","","8444",""
"穫","","","huò","","8445","harvest, cut grain"
"窅","","","yǎo","","8446","far, deep; sunken eyes; sad"
"窾","","","kuǎn","","8447","hole; hallow; empty"
"筭","","","suàn","","8448","an ancient device for working with numbers; count, calculate, figure"
"箣","","","cè","","8449",""
"簃","","","yí","","8450","side room"
"簺","","","sài","","8451",""
"粴","","","lǐ","","8452",""
"糦","","","xī","","8453",""
"絟","","","quán","","8454",""
"緺","","","guā","","8455",""
"縩","","","cài","","8456",""
"罍","","","léi","","8457","large earthenware wine jar"
"翣","","","shà","","8458","feathers used decorate coffin; large wooden fan"
"聟","","","xù","","8459","son-in-law; husband"
"肊","","","yì","","8460",""
"肙","","","yuàn","","8461","a small worm; to twist; to surround; empty"
"肞","","","chā","","8462",""
"臞","","","qú","","8463",""
"苶","","","nié","","8464","weary; tired"
"菭","","","tái","","8465",""
"葖","","","tū","","8466",""
"蕳","","","jiān","","8467","agueweed"
"蚒","","","tóng","","8468","(Cant.) an edible snake, lizard"
"蜪","","","táo","","8469",""
"蝕","","","shí","","8470","nibble away; erode; eclipse"
"蠜","","","fán","","8471","grasshopper"
"袕","","","xué","","8472",""
"裋","","","shù","","8473","cotton clothes of a boy servant"
"裩","","","kūn","","8474",""
"褌","","","kūn","","8475","trousers, pants, shorts, drawers"
"褎","","","xiù","","8476","sleeve; ample flowing robes"
"襫","","","shì","","8477","raincoat"
"覈","","","hé","","8478","investigate, consider, examine"
"觭","","","jī","","8479","one turning up and one turning down"
"訆","","","jiào","","8480",""
"訏","","","xū","","8481","boast, exaggerate; great, broad"
"訽","","","gòu","","8482","blame"
"詨","","","xiào","","8483","kind of cicada, cosmopsaltria"
"譻","","","yīng","","8484",""
"诇","詗","詗","xiòng","","8485","to spy; to give information; shrewd"
"貑","","","jiā","","8486",""
"跱","","","zhì","","8487","stop"
"坶","","","mǔ","","8488",""
"躘","","","lóng","","8489","to walk"
"輖","","","zhōu","","8490",""
"轇","","","jiāo","","8491","complicated, confused; dispute"
"轋","","","hún","","8492",""
"轕","","","gé","","8493","great array of spears and chariots"
"迒","","","háng","","8494",""
"郘","","","lǘ","","8495",""
"醄","","","táo","","8496",""
"醼","","","yàn","","8497",""
"鋋","","","chán","","8498",""
"鏁","","","suǒ","","8499","variant of"
"鏭","","","xī","","8500",""
"鐄","","","huáng","","8501","bell"
"鑣","","","biāo","","8502","bit, bridle; ride"
"鑷","","","niè","","8503","tweezers, forceps, pincers"
"辁","輇","輇","quán","","8504","cart wheel with no spokes"
"阸","","","è","","8505","distress; difficulty"
"牿","","","gù","","8506",""
"鞝","","","shàng","","8507","the piece of leather used for soles on Chinese shoes. a patch"
"頞","","","è","","8508","(nose) bridge"
"瞵","","","lín","","8509","to stare at"
"饤","飣","飣","dìng","","8510","display food for show only; sacrifice"
"駃","","","jué","","8511","gallop"
"駉","","","jiōng","","8512","big"
"騠","","","tí","","8513","a horse, mule"
"驡","","","lóng","","8514",""
"髪","","","fà","","8515","hair"
"鬚","","","xū","","8516","beard, whiskers; whisker-like"
"鬿","","","qí","","8517",""
"鮌","","","gǔn","","8518",""
"鯁","","","gěng","","8519","fish bones; honest, upright"
"鱻","","","xiān","","8520","fresh, new, delicious; rare, few"
"鶚","","","è","","8521","osprey, fishhawk; Pandion haliaetus"
"鷫","","","sù","","8522","turquoise kingfisher"
"鹖","鶡","鶡","hé","","8523","crossbill, species of nightingale"
"磩","","","qì","","8524",""
"磭","","","chuò","","8525",""
"稌","","","tú","","8526","glutinous rice"
"穃","","","rong","","8527",""
"綂","","","tǒng","","8528","govern, command, control; unite"
"膥","","","chūn","","8529","(Cant.) eggs of birds or reptiles; testicles"
"膱","","","zhí","","8530",""
"臿","","","chā","","8531","to separate the grain from the husk"
"艎","","","huáng","","8532","fast boat"
"苃","","","yǒu","","8533",""
"茍","","","jì","","8534","to be circumspect, cautious in ones behaviour (distinguish DKW 30790 gou3)"
"蒟","","","jǔ","","8535","betel pepper; Amorphophallus konjac"
"藣","","","bēi","","8536",""
"虈","","","xiāo","","8537",""
"蜐","","","jié","","8538",""
"訅","","","qiú","","8539",""
"詭","","","guǐ","","8540","deceive, cheat, defraud; sly"
"讈","","","lì","","8541",""
"貿","","","mào","","8542","trade, barter; mixed; rashly"
"趷","","","kē","","8543","to jolt; (Cant.) to raise up; block"
"蹌","","","qiāng","","8544","walk rapidly"
"蹹","","","tá","","8545","to tread on; to stamp; to walk"
"鈰","","","shì","","8546","cerium"
"銑","","","xiǎn","","8547","mill"
"鋫","","","lí","","8548",""
"鍔","","","è","","8549","high, lofty; edge of knife"
"鐨","","","fèi","","8550","fermium"
"餉","","","xiǎng","","8551","rations and pay for soldiers"
"騛","","","fēi","","8552",""
"鯛","","","diāo","","8553","pagrosomus major, porgy"
"鰤","","","shī","","8554","a yellowtail (fish)"
"鳳","","","fèng","","8555","male phoenix; symbol of joy"
"鵂","","","xiū","","8556","horned owl, scops chinensis; bird of ill omen"
"鶢","","","yuán","","8557","a bird which frequents the sea-shore"
"鶳","","","shī","","8558",""
"黋","","","kuàng","","8559",""
"齢","","","líng","","8560","age; years"
"磚","","","zhuān","","8561","tile, brick"
"緲","","","miǎo","","8562","indistinct, dim; minute; distant"
"繳","","","jiǎo","","8563","deliver, submit; hand over"
"聝","","","guó","","8564","to cut the left ears of the slain"
"膴","","","hū","","8565","fine"
"芵","","","jué","","8566",""
"藫","","","tán","","8567",""
"覓","","","mì","","8568","seek; search"
"誕","","","dàn","","8569","to bear children, give birth; birth"
"誡","","","jiè","","8570","warn, admonish; warning"
"貎","","","ní","","8571","lion; wild beast; wild horse"
"賄","","","huì","","8572","bribe; bribes; riches, wealth"
"跰","","","pián","","8573",""
"踥","","","qiè","","8574",""
"迆","","","yí","","8575","wind; walk out of straight path"
"逕","","","jìng","","8576","pass by, approach; direct"
"逤","","","suò","","8577",""
"鏢","","","biāo","","8578","dart, spear, harpoon; escort"
"鏤","","","lòu","","8579","carve, inlay, engrave, tattoo"
"鑄","","","zhù","","8580","melt, cast; coin, mint"
"鑽","","","zuān","","8581","drill, bore; pierce; diamond"
"頷","","","hàn","","8582","chin, jowl; give nod"
"鴉","","","yā","","8583","crow, raven; Corvus species (various)"
"鴰","","","guā","","8584","the crow"
"麅","","","páo","","8585","a small spotted deer found in north China"
"礱","","","lóng","","8586","grind, sharpen; mill"
"祿","","","lù","","8587","blessing, happiness, prosperity"
"缷","","","xiè","","8588","lay down; retire from office"
"虙","","","fú","","8589",""
"齗","","","yín","","8590","gums (of the teeth); to dispute"
"裓","","","gé","","8591",""
"铹","鐒","鐒","láo","","8592","lawrencium (Lr)"
"睙","","","liè","","8593",""
"矟","","","shuò","","8594","lance"
"硣","","","xiāo","","8595",""
"磹","","","tán","","8596",""
"礀","","","jian","","8597",""
"禮","","","lǐ","","8598","social custom; manners; courtesy; rites"
"秶","","","zī","","8599",""
"窇","","","báo","","8600",""
"竷","","","kǎn","","8601",""
"笣","","","bāo","","8602",""
"篃","","","mèi","","8603",""
"簬","","","lù","","8604",""
"簯","","","qi","","8605",""
"粓","","","gān","","8606",""
"粶","","","lù","","8607",""
"紋","","","wén","","8608","line, streak, stripe; wrinkle"
"紓","","","shū","","8609","loosen, relax, relieve; extricate"
"絞","","","jiǎo","","8610","twist, wring; intertwine; winch"
"緹","","","tí","","8611","reddish color, red, brown"
"縷","","","lǚ","","8612","thread; detailed, precise"
"縼","","","xuàn","","8613",""
"繆","","","móu","","8614","wind around, bind; prepare"
"繕","","","shàn","","8615","repair, mend; rewrite, transcribe"
"繚","","","liáo","","8616","wind round, rap around, bind"
"繞","","","rào","","8617","entwine; wind around; surround"
"绤","綌","綌","xì","","8618","cloth"
"罆","","","guàn","","8619","jar, jug, pitcher, pot"
"羈","","","jī","","8620","halter; restrain, hold, control"
"翆","","","cuì","","8621","color green; kingfisher"
"翑","","","qú","","8622",""
"聵","","","kuì","","8623","deaf"
"脵","","","gǔ","","8624","thighs, haunches, rump; share"
"臄","","","jué","","8625","palate"
"茽","","","zhòng","","8626",""
"莊","","","zhuāng","","8627","village, hamlet; villa; surname"
"莢","","","jiá","","8628","pods of leguminous plants; pods"
"莵","","","tu","","8629","dodder; creeper"
"菕","","","lún","","8630",""
"蓛","","","cè","","8631",""
"蓷","","","tuī","","8632","motherwort, various plants of the genus Leonurus, such as L. sibiricus and L. artemesia"
"蓸","","","cáo","","8633",""
"蔘","","","shēn","","8634","ginseng; huge"
"蔞","","","lóu","","8635","Artemisia stelleriana"
"蕘","","","ráo","","8636","fuel, firewood; stubble"
"蕼","","","sì","","8637",""
"薔","","","qiáng","","8638","rose"
"藖","","","xián","","8639",""
"藢","","","zhǐ","","8640",""
"藶","","","lì","","8641","a kind of plant"
"蛢","","","píng","","8642",""
"蟯","","","náo","","8643","worms"
"蠄","","","qín","","8644","(Cant.)"
"蠈","","","zéi","","8645",""
"蠎","","","mǎng","","8646","python, boa constrictor"
"蠣","","","lì","","8647","oyster"
"襪","","","wà","","8648","socks, stockings"
"覙","","","luó","","8649","explain in detail"
"訑","","","yí","","8650","deceive, cheat; arrogant"
"訣","","","jué","","8651","take leave of, bid farewell"
"詰","","","jié","","8652","question, interrogate"
"詸","","","mí","","8653",""
"誰","","","shuí","","8654","who? whom? whose? anyone?"
"諏","","","zōu","","8655","consult, confer; select, choose"
"諛","","","yú","","8656","flatter, truckle"
"諮","","","zī","","8657","consult, confer; communicate in"
"諱","","","huì","","8658","conceal; shun; regard as taboo"
"謥","","","còng","","8659",""
"謨","","","mó","","8660","scheme, plan; plan; be without"
"譫","","","zhān","","8661","talkative; incoherent talk"
"貋","","","hàn","","8662",""
"貛","","","huān","","8663","badger"
"貫","","","guàn","","8664","a string of 1000 coins; to go through"
"賓","","","bīn","","8665","guest, visitor; surname; submit"
"賞","","","shǎng","","8666","reward, grant, bestow; appreciate"
"贁","","","bài","","8667","to defeat to spoil or be spoiled; to corrupt or be corrupted"
"贂","","","chěn","","8668",""
"贉","","","dàn","","8669","earnest money; silk label on books"
"趤","","","dàng","","8670",""
"趯","","","tì","","8671","jump"
"趶","","","kù","","8672",""
"跔","","","jū","","8673","numb feet; to limp"
"踴","","","yǒng","","8674","leap, jump"
"蹆","","","tuǐ","","8675","(Cant.) to move in a straight line"
"塥","","","gé","","8676",""
"輝","","","huī","","8677","brightness, luster, brilliance"
"輰","","","yáng","","8678",""
"輿","","","yú","","8679","cart, palanquin; public opinion"
"轂","","","gǔ","","8680","hub of wheel"
"邁","","","mài","","8681","take a big stride; pass by"
"邼","","","kuāng","","8682",""
"釟","","","bā","","8683",""
"釠","","","luàn","","8684",""
"釣","","","diào","","8685","fish; fishhook; tempt, lure"
"鈉","","","nà","","8686","sodium, natrium; sharpen wood"
"鈴","","","líng","","8687","bell"
"鈺","","","yù","","8688","rare treasure"
"鉂","","","shǐ","","8689",""
"銊","","","xù","","8690",""
"銘","","","míng","","8691","inscribe, engrave; unforgettably"
"鋤","","","chú","","8692","hoe; eradicate"
"鋭","","","ruì","","8693","sharp"
"錃","","","bēi","","8694",""
"錈","","","juǎn","","8695","to bend iron"
"漭","","","mǎng","","8696","vast; expansive"
"錨","","","máo","","8697","anchor"
"鍤","","","chā","","8698","spade, shovel; marking pin"
"鏆","","","guàn","","8699",""
"鐖","","","jī","","8700",""
"鐧","","","jiān","","8701","kind of rapier"
"鐳","","","léi","","8702","radium"
"鑱","","","chán","","8703","spade, trowel"
"鑾","","","luán","","8704","bells hung on horse; bells hung"
"镃","鎡","鎡","zī","","8705","hoe; mattock"
"閬","","","làng","","8706","high door; high gate; high, lofty"
"閾","","","yù","","8707","threshold; separated, confined"
"閿","","","wén","","8708","name of a district in Henan province"
"陜","","","xiá","","8709","narrow; mountain pass"
"陝","","","shǎn","","8710","mountain pass; Shaanxi province"
"霠","","","yīn","","8711",""
"鞏","","","gǒng","","8712","bind; firm, secure, strong"
"鞖","","","suī","","8713",""
"韨","韍","韍","fú","","8714","a leather knee-pad worn during sacrifices"
"韼","","","péng","","8715",""
"韽","","","ān","","8716",""
"頒","","","bān","","8717","confer, bestow; publish, promulgate"
"頤","","","yí","","8718","cheeks; jaw; chin; rear; to nourish"
"顛","","","diān","","8719","top, peak, summit; upset"
"飳","","","tǒu","","8720",""
"飸","","","tāo","","8721",""
"餆","","","yáo","","8722",""
"館","","","guǎn","","8723","public building"
"饅","","","mán","","8724","steamed bread; steamed dumplings"
"駐","","","zhù","","8725","to be stationed at, reside at; to stop"
"駡","","","mà","","8726","accuse, blame, curse, scold"
"駷","","","sǒng","","8727",""
"騁","","","chěng","","8728","gallop horse; hasten, hurry"
"騫","","","qiān","","8729","raise, hold high; fly, soar"
"騷","","","sāo","","8730","harass, bother, annoy, disturb, agitate; sad, grieved"
"騼","","","lù","","8731",""
"髕","","","bìn","","8732","kneecap"
"魜","","","rén","","8733","mermaid; manatee"
"鰫","","","yóng","","8734",""
"鱗","","","lín","","8735","fish scales"
"鱽","魛","魛","dāo","","8736","the mullet"
"鲬","鯒","鯒","yǒng","","8737","a flathead (fish)"
"鴻","","","hóng","","8738","species of wild swan; vast"
"鶆","","","lái","","8739",""
"鶊","","","gēng","","8740","oriole"
"鷳","","","xián","","8741","the silver pheasant, Lophura nycthemera"
"鷿","","","pì","","8742","a kind of bird resembling the duck; much smaller"
"鸁","","","luó","","8743",""
"麞","","","zhāng","","8744","roebuck, Moschus chinloo"
"鼏","","","mì","","8745","cover of tripod caldron"
"鼜","","","qì","","8746",""
"鼫","","","shí","","8747","marmot; squirrel"
"齦","","","kěn","","8748","gums"
"䦂","䥇","䥇","shàn","","8749","(simplified form of"
"䲟","鮣","鮣","yìn","","8750","(simplified form of"
"䴓","鳾","鳾","shī","","8751","general term for a group of small birds"
"䴕","鴷","鴷","liè","","8752","a woodpecker"
"䶮","龑","龑","yǎn","","8753",""
"盬","","","gǔ","","8754","salt pit; leisure; pot; drink"
"祅","","","yāo","","8755","calamities, disasters; ormazda"
"禡","","","mà","","8756","a sacrifice at the beginning of a military campaign or on the 2nd and 16th day of the lunar month"
"禭","","","suì","","8757",""
"糱","","","niè","","8758","fermenting grain; yeast"
"縂","","","zǒng","","8759","collect; overall, altogether"
"蠥","","","niè","","8760",""
"軷","","","bá","","8761","sacrifice"
"鄮","","","mào","","8762",""
"釱","","","dì","","8763","fetters; to fetter"
"銦","","","yīn","","8764","indium"
"錣","","","zhuì","","8765","armor neckplates"
"鑢","","","lǜ","","8766","file, rasp; file; polish; (Cant.) to cut"
"钑","鈒","鈒","jí","","8767","spear"
"饟","","","xiǎng","","8768","rations and pay for soldiers; dried rice"
"鯅","","","shān","","8769",""
"鼊","","","bì","","8770",""
"䴖","鶄","鶄","jīng","","8771","a kind of water bird"
"簫","","","xiāo","","8772","musical instrument like pan-pipes, bamboo flute"
"粛","","","sù","","8773","pay respects; reverently"
"粻","","","zhāng","","8774","provisions"
"饈","","","xiū","","8775","food, meal; eat; offer"
"盌","","","wǎn","","8776","bowl, basin, cup"
"瞂","","","fá","","8777",""
"鋅","","","xīn","","8778","zincum"
"靮","","","dí","","8779","bridle"
"盨","","","xǔ","","8780",""
"県","","","xiàn","","8781","county, district, subdivision"
"箥","","","bǒ","","8782",""
"簕","","","lè","","8783","(Cant.) thorn"
"臖","","","xìng","","8784",""
"鎔","","","róng","","8785","fuse, melt, smelt; mold"
"鏐","","","liú","","8786","pure gold"
"顔","","","yán","","8787","face, facial appearance"
"盿","","","mín","","8788",""
"萵","","","wō","","8789","lettuce"
"蔊","","","hǎn","","8790",""
"覥","","","tiǎn","","8791","ashamed"
"貲","","","zī","","8792","property; wealth; to count"
"驢","","","lǘ","","8793","donkey, ass"
"鶸","","","ruò","","8794","light yellowish-green"
"磑","","","wéi","","8795","stone mill; grind; break apart"
"窎","窵","窵","diào","","8796","deep; distant"
"詒","","","yí","","8797","bequeath, pass on to future generations"
"鉔","","","zā","","8798",""
"鏱","","","zhang","","8799",""
"隺","","","hú","","8800","a bird flying high ambition"
"饜","","","yàn","","8801",""
"荘","","","zhuāng","","8802","village, hamlet; villa; surname"
"蒻","","","ruò","","8803","rushes"
"蔴","","","má","","8804","hemp; sesame; applied to other plants furnishing textile fibres"
"裛","","","yì","","8805","to wrap and bind; damp; a book bag"
"鈙","","","qín","","8806",""
"鎋","","","xiá","","8807","the linch-pin of a wheel to govern or control the noise of a barrow"
"鑀","","","ài","","8808","ionium"
"髴","","","fú","","8809","disheveled hair; similar to"
